Epoch: 0, Loss A: 0.14591806, loss B: 0.13644743
Epoch: 1, Loss A: 0.14075144, loss B: 0.13606815
Epoch: 2, Loss A: 0.1420075, loss B: 0.13526762
Epoch: 3, Loss A: 0.14839727, loss B: 0.13562192
Epoch: 4, Loss A: 0.14745453, loss B: 0.13459776
Epoch: 5, Loss A: 0.138931, loss B: 0.13314629
Epoch: 6, Loss A: 0.14648157, loss B: 0.12535106
Epoch: 7, Loss A: 0.13076966, loss B: 0.094964296
Epoch: 8, Loss A: 0.11593108, loss B: 0.08457617
Epoch: 9, Loss A: 0.1102598, loss B: 0.08759427
Epoch: 10, Loss A: 0.1614749, loss B: 0.107567444
Epoch: 11, Loss A: 0.1000354, loss B: 0.09677747
Epoch: 12, Loss A: 0.10964613, loss B: 0.07972052
Epoch: 13, Loss A: 0.102208674, loss B: 0.07960652
Epoch: 14, Loss A: 0.119405165, loss B: 0.07861355
Epoch: 15, Loss A: 0.10548362, loss B: 0.07742691
Epoch: 16, Loss A: 0.09630048, loss B: 0.07698788
Epoch: 17, Loss A: 0.10759721, loss B: 0.07761277
Epoch: 18, Loss A: 0.10368447, loss B: 0.07638258
Epoch: 19, Loss A: 0.09607361, loss B: 0.08027022
Epoch: 20, Loss A: 0.107130945, loss B: 0.07378158
Epoch: 21, Loss A: 0.10429931, loss B: 0.07513664
Epoch: 22, Loss A: 0.102146745, loss B: 0.07228004
Epoch: 23, Loss A: 0.0957006, loss B: 0.07401548
Epoch: 24, Loss A: 0.10438481, loss B: 0.08281827
Epoch: 25, Loss A: 0.09778825, loss B: 0.07322105
Epoch: 26, Loss A: 0.0962219, loss B: 0.084582135
Epoch: 27, Loss A: 0.10899238, loss B: 0.07510254
Epoch: 28, Loss A: 0.10960648, loss B: 0.07363318
Epoch: 29, Loss A: 0.10088639, loss B: 0.07325576
Epoch: 30, Loss A: 0.099670686, loss B: 0.07584227
Epoch: 31, Loss A: 0.10618867, loss B: 0.08051119
Epoch: 32, Loss A: 0.10202488, loss B: 0.07668241
Epoch: 33, Loss A: 0.09689262, loss B: 0.06968975
Epoch: 34, Loss A: 0.09313813, loss B: 0.0778136
Epoch: 35, Loss A: 0.104939274, loss B: 0.06951715
Epoch: 36, Loss A: 0.10173719, loss B: 0.06818633
Epoch: 37, Loss A: 0.10264323, loss B: 0.06858243
Epoch: 38, Loss A: 0.095086664, loss B: 0.072811365
Epoch: 39, Loss A: 0.09392069, loss B: 0.076639384
Epoch: 40, Loss A: 0.09896582, loss B: 0.06809051
Epoch: 41, Loss A: 0.08652851, loss B: 0.075805776
Epoch: 42, Loss A: 0.10670197, loss B: 0.06534343
Epoch: 43, Loss A: 0.10112682, loss B: 0.0717293
Epoch: 44, Loss A: 0.09372572, loss B: 0.06844087
Epoch: 45, Loss A: 0.101505935, loss B: 0.07259877
Epoch: 46, Loss A: 0.09877974, loss B: 0.07607425
Epoch: 47, Loss A: 0.089206174, loss B: 0.07065076
Epoch: 48, Loss A: 0.0972028, loss B: 0.07419205
Epoch: 49, Loss A: 0.09659402, loss B: 0.06757451
Epoch: 50, Loss A: 0.101365775, loss B: 0.06665647
Epoch: 51, Loss A: 0.091118634, loss B: 0.06675247
Epoch: 52, Loss A: 0.09126015, loss B: 0.071858704
Epoch: 53, Loss A: 0.0950059, loss B: 0.075654104
Epoch: 54, Loss A: 0.1029406, loss B: 0.068620004
Epoch: 55, Loss A: 0.095968336, loss B: 0.068627626
